trial_id,method,evaluation_index,lambda,gamma,log_lam,log_gam,objective_value,mean_return,mean_risk,stability_score
4,Grid Search,0,0.01,0.01,-2.0,-2.0,-0.043751422001451615,0.057499936634924906,0.026874920434954472,0.009500303553293515
4,Grid Search,1,0.01,0.027825594022071243,-2.0,-1.5555555555555556,-0.029391499553513972,0.057500027200105316,0.02687502992975773,0.006628293378820766
4,Grid Search,2,0.01,0.0774263682681127,-2.0,-1.1111111111111112,-0.083603788316835,0.057500009288378076,0.026875009132676146,0.017470755867972157
4,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,0.0021060484455107703,0.057500008595012156,0.026875010115598875,0.0003287879836607269
4,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.0037407765969897245,0.05750000453649509,0.026875001696466762,1.8449093143687372e-06
4,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.0034486761411711567,0.05749999907114928,0.02687499842029681,6.0265217876900664e-05
4,Grid Search,6,0.01,4.6415888336127775,-2.0,0.6666666666666665,0.0037445721645810084,0.05749999808655218,0.026874992370286975,1.088236279444018e-06
4,Grid Search,7,0.01,12.915496650148826,-2.0,1.1111111111111107,0.0037498456461209887,0.05749999720047942,0.02687498881203189,3.478605893115846e-08
4,Grid Search,8,0.01,35.93813663804626,-2.0,1.5555555555555554,0.0037499927908437344,0.05750000100297033,0.026875000881187883,1.2899501655498426e-09
4,Grid Search,9,0.01,100.0,-2.0,2.0,0.0037498391908832207,0.05750000378930277,0.026875005710904516,3.063532210333847e-08
4,Grid Search,10,0.027825594022071243,0.01,-1.5555555555555556,-2.0,-0.0527522417851967,0.057500008371547603,0.026875012500207247,0.011300445031265961
4,Grid Search,11,0.027825594022071243,0.027825594022071243,-1.5555555555555556,-1.5555555555555556,-0.0516001631721419,0.05750000641117667,0.0268750060773731,0.011070031485714473
