trial_id,method,evaluation_index,lambda,gamma,log_lam,log_gam,objective_value,mean_return,mean_risk,stability_score
7,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,0.0034137131611945625,0.057500003611352976,0.026875003456393154,6.725670747442114e-05
2,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,0.0030953429361549006,0.057500004299079116,0.02687500462769103,0.00013093042150843164
6,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,0.0034525318132458465,0.05750000444827891,0.02687500488943582,5.949257123228376e-05
1,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,0.0027382930118785877,0.05750000491747008,0.026875005640794297,0.0002023401248005797
5,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,-0.003138871749341362,0.0575000081333497,0.026875009177735564,0.0013777723054439863
4,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,-0.010214174312414077,0.057500003594460086,0.026875003516611973,0.002792834174730043
0,Grid Search,3,0.01,0.21544346900318834,-2.0,-0.6666666666666667,0.003685915961741858,0.05750000315650071,0.02687500310414768,1.2816197292697545e-05
7,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.0036317504614056867,0.05750001062715078,0.026875014056253196,2.36464106477404e-05
3,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.0032587990231146675,0.05750000580268656,0.026875006835107854,9.823862187123737e-05
2,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.0031005619218121574,0.05750000483475885,0.026875005415409377,0.00012988641642558811
6,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.0036760176305258505,0.05749999472409406,0.0268749885361645,1.4800004247841859e-05
1,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.003498460207537843,0.057500002484376936,0.026875003053835056,5.0307233833796176e-05
4,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.0036425184576392437,0.05750000458761832,0.026875005187575674,2.1495150965546064e-05
5,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.0036924048558964174,0.057500034786888865,0.02687505240403527,1.1505024584381322e-05
0,Grid Search,4,0.01,0.5994842503189409,-2.0,-0.22222222222222232,0.0035006415777913366,0.057500002761798355,0.026875001217062485,4.987174997640963e-05
3,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.003746336105399492,0.05749999632646548,0.026874991737958865,7.353490296510364e-07
6,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.003728899393397384,0.05750000384378959,0.026875002712768947,4.219804970862116e-06
2,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.003736095816397607,0.05750000583114184,0.026875004773267087,2.780093642012459e-06
1,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.0037364166357960822,0.05750000443266527,0.026875005044295807,2.715541655515144e-06
7,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.0012746234609470842,0.05749999978874616,0.026874992023397142,0.0004950784562009587
4,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.0035784050105035167,0.05749999999401553,0.02687499595139774,3.432061614330694e-05
0,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.0037145270448505365,0.05750000360090039,0.02687500390241275,7.093750244871185e-06
5,Grid Search,5,0.01,1.6681005372000592,-2.0,0.22222222222222232,0.0037353686678284173,0.05749999578003569,0.026874981641969265,2.932765653747896e-06
